Date : 2025-02-21 12:02:17
Directory : c:\Users\jorde\OneDrive\Documents\GitHub\DiggingGame\src
Total : 92 files,  17543 codes, 1203 comments, 2267 blanks, all 21013 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         24 |      9,806 |        320 |        907 |     11,033 |
| TypeScript     |         61 |      5,879 |        843 |      1,158 |      7,880 |
| Luau           |          7 |      1,858 |         40 |        202 |      2,100 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |         92 |     17,543 |      1,203 |      2,267 |     21,013 |
| client                                                                                                     |         41 |     12,543 |        546 |      1,377 |     14,466 |
| client (Files)                                                                                             |          2 |          8 |          0 |          6 |         14 |
| client\atoms                                                                                               |          1 |          4 |          1 |          2 |          7 |
| client\components                                                                                          |          2 |        237 |         17 |         57 |        311 |
| client\controllers                                                                                         |         10 |      2,477 |        190 |        396 |      3,063 |
| client\hooks                                                                                               |          2 |         59 |         18 |         19 |         96 |
| client\reactComponents                                                                                     |         23 |      9,747 |        320 |        895 |     10,962 |
| client\utils                                                                                               |          1 |         11 |          0 |          2 |         13 |
| server                                                                                                     |         17 |      2,015 |        142 |        414 |      2,571 |
| server (Files)                                                                                             |          3 |         48 |          8 |         18 |         74 |
| server\services                                                                                            |         14 |      1,967 |        134 |        396 |      2,497 |
| shared                                                                                                     |         34 |      2,985 |        515 |        476 |      3,976 |
| shared (Files)                                                                                             |          5 |        348 |         21 |         53 |        422 |
| shared\config                                                                                              |         14 |        997 |         27 |         62 |      1,086 |
| shared\util                                                                                                |         15 |      1,640 |        467 |        361 |      2,468 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                   | language       | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\jorde\OneDrive\Documents\GitHub\DiggingGame\src\client\atoms\inventoryAtoms.ts                    | TypeScript     |          4 |          1 |          2 |          7 |
